# 核反应率计算结果汇总
# 能谱文件: Spectrum.txt
# 截面文件目录: TENDL_Downloads
# 计算时间: 2025-11-23T03:57:52
#================================================================================
# 产物名称	反应率 R (reactions/s)	积分值 (b*#/cm²*MeV)	数据点数
#================================================================================
rp086216	0.000000e+00	0.000000e+00	53
rp086217	0.000000e+00	0.000000e+00	53
rp086218	0.000000e+00	0.000000e+00	53
rp086219	0.000000e+00	0.000000e+00	53
rp086220	0.000000e+00	0.000000e+00	53
rp086226	0.000000e+00	0.000000e+00	53
rp087205	0.000000e+00	0.000000e+00	53
rp087206	0.000000e+00	0.000000e+00	53
rp087207	0.000000e+00	0.000000e+00	53
rp087208	0.000000e+00	0.000000e+00	53
rp087209	0.000000e+00	0.000000e+00	53
rp087210	0.000000e+00	0.000000e+00	53
rp087211	0.000000e+00	0.000000e+00	53
rp087212	0.000000e+00	0.000000e+00	53
rp087213	0.000000e+00	0.000000e+00	53
rp087214	0.000000e+00	0.000000e+00	53
rp087215	0.000000e+00	0.000000e+00	53
rp087216	0.000000e+00	0.000000e+00	53
rp087217	0.000000e+00	0.000000e+00	53
rp087218	0.000000e+00	0.000000e+00	53
rp087219	0.000000e+00	0.000000e+00	53
rp087220	0.000000e+00	0.000000e+00	53
rp087221	0.000000e+00	0.000000e+00	53
rp087222	0.000000e+00	0.000000e+00	53
rp088206	0.000000e+00	0.000000e+00	53
rp088207	0.000000e+00	0.000000e+00	53
rp088208	0.000000e+00	0.000000e+00	53
rp088209	0.000000e+00	0.000000e+00	53
rp088210	0.000000e+00	0.000000e+00	53
rp088211	0.000000e+00	0.000000e+00	53
rp088212	0.000000e+00	0.000000e+00	53
rp088213	0.000000e+00	0.000000e+00	53
rp088214	0.000000e+00	0.000000e+00	53
rp088215	0.000000e+00	0.000000e+00	53
rp088216	0.000000e+00	0.000000e+00	53
rp088217	0.000000e+00	0.000000e+00	53
rp088218	0.000000e+00	0.000000e+00	53
rp088219	0.000000e+00	0.000000e+00	53
rp088220	0.000000e+00	0.000000e+00	53
rp088221	0.000000e+00	0.000000e+00	53
rp088222	0.000000e+00	0.000000e+00	53
rp088223	0.000000e+00	0.000000e+00	53
