Segments	Energy	Value	Error
5	0.00295051	2.55539e-05	0.0002
5	0.00328766	2.71642e-05	0.0002
5	0.00366333	2.9013e-05	0.0002
5	0.00408194	3.14213e-05	0.0002
5	0.00454837	3.35596e-05	0.0002
5	0.0050681	3.58099e-05	0.0002
5	0.00564723	3.83609e-05	0.0002
5	0.00629252	4.17071e-05	0.0002
5	0.00701156	4.46781e-05	0.0002
5	0.00781276	4.78191e-05	0.0002
5	0.00870551	5.13417e-05	0.0002
5	0.00970027	5.59524e-05	0.0002
5	0.0108087	6.0066e-05	0.0002
5	0.0120438	6.44338e-05	0.0002
5	0.01342	6.92721e-05	0.0002
5	0.0149535	7.57041e-05	0.0002
5	0.0166622	8.14025e-05	0.0002
5	0.0185662	8.74521e-05	0.0002
5	0.0206877	9.40737e-05	0.0002
5	0.0230516	0.00010291	0.0002
5	0.0256857	0.000110694	0.0003
5	0.0286207	0.000118961	0.0003
5	0.0318912	0.000127853	0.0003
5	0.0355353	0.00013974	0.0003
5	0.0395959	0.000150086	0.0003
5	0.0441204	0.000160982	0.0003
5	0.049162	0.000172461	0.0003
5	0.0547796	0.000187893	0.0003
5	0.0610392	0.000201171	0.0003
5	0.068014	0.00021506	0.0003
5	0.0757858	0.000229635	0.0003
5	0.0844457	0.000249316	0.0003
5	0.0940952	0.000266245	0.0003
5	0.104847	0.000283869	0.0004
5	0.116828	0.000301953	0.0004
5	0.130178	0.000326125	0.0004
5	0.145053	0.000346722	0.0004
5	0.161628	0.000367887	0.0004
5	0.180097	0.000388842	0.0004
5	0.200676	0.000416735	0.0004
5	0.223607	0.000439918	0.0005
5	0.249158	0.000463276	0.0005
5	0.277629	0.000485539	0.0005
5	0.309353	0.000515033	0.0005
5	0.344702	0.000538071	0.0005
5	0.38409	0.00056113	0.0006
5	0.42798	0.000582863	0.0006
5	0.476884	0.000612524	0.0006
5	0.531377	0.000636201	0.0006
5	0.592096	0.000658957	0.0007
5	0.659754	0.000679101	0.0007
5	0.735143	0.000706536	0.0007
5	0.819146	0.00072898	0.0007
5	0.912748	0.000751015	0.0008
5	1.01705	0.000769267	0.0008
5	1.13326	0.000796016	0.0008
5	1.26276	0.000818217	0.0009
5	1.40705	0.000841521	0.0009
5	1.56783	0.000860644	0.0009
5	1.74699	0.000888466	0.001
5	1.94661	0.00091349	0.001
5	2.16905	0.000939644	0.001
5	2.4169	0.000962791	0.0011
5	2.69307	0.000999895	0.0011
5	3.00081	0.00103452	0.0011
5	3.3437	0.00107326	0.0012
5	3.72578	0.00110802	0.0012
5	4.15152	0.00116061	0.0012
5	4.6259	0.00121208	0.0012
5	5.1545	0.00127301	0.0013
5	5.74349	0.00133274	0.0013
5	6.39979	0.00141458	0.0013
5	7.13108	0.0015015	0.0013
5	7.94594	0.00160164	0.0013
5	8.8539	0.00170887	0.0013
5	9.86562	0.00184899	0.0013
5	10.9929	0.00200605	0.0013
5	12.2491	0.0021891	0.0013
5	13.6488	0.00240454	0.0013
5	15.2084	0.00267863	0.0013
5	16.9462	0.0030093	0.0012
5	18.8826	0.00341318	0.0012
