Nuclide,State,Energy,Intensity
Re182,0,108.58,1263.684
Re182,0,110.38,163.056
Re182,0,111.07,330.1884
Re182,0,113.68,7704.396
Re182,0,113.7,657.28
Re182,0,116.23,815.28
Re182,0,116.4,556.16
Re182,0,130.81,11821.56
Re182,0,133.8,3791.052
Re182,0,145.43,1059.864
Re182,0,147.69,1426.74
Re182,0,148.86,2771.9519999999998
Re182,0,149.45,1426.74
Re182,0,150.25,815.28
Re182,0,151.15,692.9879999999999
Re182,0,152.43,13452.119999999999
Re182,0,152.43,11123.2
Re182,0,154.1,366.876
Re182,0,156.38,859.5200000000001
Re182,0,156.39,11413.92
Re182,0,160.2,379.10519999999997
Re182,0,160.2,379.10519999999997
Re182,0,169.15,17936.16
Re182,0,172.87,5666.196
Re182,0,178.47,3587.232
Re182,0,179.38,465.152
Re182,0,179.4,4769.388
Re182,0,187.34,509.55
Re182,0,188.54,207.8964
Re182,0,189.65,611.46
Re182,0,191.39,10598.64
Re182,0,198.34,6399.948
Re182,0,198.36,278.08
Re182,0,203.55,774.5160000000001
Re182,0,206.0,815.28
Re182,0,208.26,978.336
Re182,0,209.4,774.5160000000001
Re182,0,214.32,1752.8519999999999
Re182,0,215.73,1222.92
Re182,0,217.55,5177.028
Re182,0,221.61,10191.0
Re182,0,222.07,13452.119999999999
Re182,0,222.08,1097.152
Re182,0,226.19,4850.915999999999
Re182,0,229.32,40764.0
Re182,0,229.32,4044.8
Re182,0,247.46,7989.744
Re182,0,256.45,15082.679999999998
Re182,0,264.07,5666.196
Re182,0,264.08,455.03999999999996
Re182,0,276.31,13859.76
Re182,0,281.45,9008.844000000001
Re182,0,286.56,11169.336000000001
Re182,0,295.67,326.112
Re182,0,299.9,1997.436
Re182,0,300.36,2690.424
Re182,0,313.98,1263.684
Re182,0,323.4,2771.9519999999998
Re182,0,339.06,8805.024
Re182,0,342.03,1671.324
Re182,0,345.46,774.5160000000001
Re182,0,351.07,16305.6
Re182,0,357.04,856.0439999999999
Re182,0,470.26,3185.28
Re182,0,536.04,328.64
Re182,0,555.0,176.96
Re182,0,598.56,621.888
Re182,0,649.73,535.936
Re182,0,734.53,596.608
Re182,0,787.11,480.32
Re182,0,800.0,237.632
Re182,0,810.24,606.72
Re182,0,835.98,733.12
Re182,0,891.9,52.9932
Re182,0,894.85,3336.96
Re182,0,900.8,561.216
Re182,0,927.99,819.072
Re182,0,928.0,587.0016
Re182,0,943.2,358.72319999999996
Re182,0,959.7,317.9592
Re182,0,959.81,859.5200000000001
Re182,0,1001.7,3913.344
Re182,0,1001.8,353.92
Re182,0,1044.4,452.48040000000003
Re182,0,1044.5,278.08
Re182,0,1076.2,16713.239999999998
Re182,0,1088.5,313.88280000000003
Re182,0,1113.3,7459.812
Re182,0,1113.4,556.16
Re182,0,1121.3,34853.22
Re182,0,1121.4,50560.0
Re182,0,1157.3,587.0016
Re182,0,1158.1,1398.2051999999999
Re182,0,1180.8,876.4259999999999
Re182,0,1189.0,14308.163999999999
Re182,0,1189.2,23914.879999999997
Re182,0,1221.4,27597.228
Re182,0,1221.5,39436.8
Re182,0,1223.9,415.7928
Re182,0,1231.0,23602.356
Re182,0,1231.1,2078.016
Re182,0,1257.3,2219.5840000000003
Re182,0,1257.5,1687.6296
Re182,0,1273.8,839.296
Re182,0,1273.8,1496.0388
