X	Y	Value
-126	-427.5	0.016698
-121.5	-427.5	0.0203484
-112.5	-427.5	0.0157158
-108	-427.5	0.022416
-103.5	-427.5	0.0392214
-99	-427.5	0.0266148
-90	-427.5	0.023382
-85.5	-427.5	0.0307572
-81	-427.5	0.0385806
-76.5	-427.5	0.0308754
-72	-427.5	0.036852
-67.5	-427.5	0.0184272
-63	-427.5	0.0220122
-58.5	-427.5	0.0225744
-54	-427.5	0.0224784
-49.5	-427.5	0.0222912
-45	-427.5	0.026871
-40.5	-427.5	0.0204516
-36	-427.5	0.020568
-31.5	-427.5	0.023874
-27	-427.5	0.025308
-22.5	-427.5	0.0215472
-18	-427.5	0.0354372
-13.5	-427.5	0.0252528
-9	-427.5	0.0276564
-4.5	-427.5	0.0218634
0	-427.5	0.0309156
4.5	-427.5	0.020985
9	-427.5	0.024123
13.5	-427.5	0.0256248
18	-427.5	0.023754
22.5	-427.5	0.024351
27	-427.5	0.020598
31.5	-427.5	0.0287682
36	-427.5	0.0284796
40.5	-427.5	0.0205116
45	-427.5	0.0319758
49.5	-427.5	0.030474
54	-427.5	0.0237558
58.5	-427.5	0.0285564
63	-427.5	0.0378378
67.5	-427.5	0.0292074
72	-427.5	0.0333582
76.5	-427.5	0.0336186
81	-427.5	0.0275424
85.5	-427.5	0.0314652
90	-427.5	0.0439554
94.5	-427.5	0.0297954
99	-427.5	0.0452034
103.5	-427.5	0.0299802
108	-427.5	0.032925
112.5	-427.5	0.031824
117	-427.5	0.0321954
121.5	-427.5	0.032091
126	-427.5	0.0363594
130.5	-427.5	0.059421
135	-427.5	0.0452022
139.5	-427.5	0.0459144
144	-427.5	0.0420312
148.5	-427.5	0.0537804
153	-427.5	0.0433716
157.5	-427.5	0.0546726
162	-427.5	0.046656
166.5	-427.5	0.038196
171	-427.5	0.0378954
175.5	-427.5	0.0360768
180	-427.5	0.031455
184.5	-427.5	0.037548
189	-427.5	0.0356874
193.5	-427.5	0.0285672
198	-427.5	0.0284772
202.5	-427.5	0.0341898
207	-427.5	0.0353994
211.5	-427.5	0.039621
216	-427.5	0.0436362
220.5	-427.5	0.0371976
225	-427.5	0.0309036
229.5	-427.5	0.0308088
234	-427.5	0.0208158
238.5	-427.5	0.02544
243	-427.5	0.0325266
247.5	-427.5	0.025146
252	-427.5	0.026763
256.5	-427.5	0.0230472
261	-427.5	0.0214014
265.5	-427.5	0.018252
270	-427.5	0.0173754
274.5	-427.5	0.0160866
279	-427.5	0.0191982
283.5	-427.5	0.0154488
288	-427.5	0.0191178
292.5	-427.5	0.0170118
297	-427.5	0.0160224
301.5	-427.5	0.01128
306	-427.5	0.0122298
310.5	-427.5	0.009498
315	-427.5	0.010758
319.5	-427.5	0.0103794
324	-427.5	0.0114288
328.5	-427.5	0.008883
333	-427.5	0.0084918
337.5	-427.5	0.0086406
342	-427.5	0.010284
346.5	-427.5	0.0063312
351	-427.5	0.0060414
355.5	-427.5	0.0062184
360	-427.5	0.0046716
364.5	-427.5	0.0034698
382.5	-427.5	0.0043986
396	-427.5	0.0039624
400.5	-427.5	0.0073686
405	-427.5	0.0044988
409.5	-427.5	0.0023538
414	-427.5	0.001398
436.5	-427.5	0.0004632
-418.5	-423	0.0001386
-391.5	-423	0.000909
-387	-423	0.0006936
-378	-423	0.000615
-373.5	-423	0.0006312
-364.5	-423	0.0011856
-360	-423	0.0004128
-351	-423	0.0006006
-346.5	-423	0.0007476
-342	-423	0.0007236
-333	-423	0.001716
-328.5	-423	0.0010752
-324	-423	0.000768
-319.5	-423	0.0009066
-315	-423	0.0009474
-310.5	-423	0.0009558
-306	-423	0.0012918
-301.5	-423	0.002469
-297	-423	0.0023172
-292.5	-423	0.0009174
-288	-423	0.0013842
-283.5	-423	0.0021186
-279	-423	0.001767
-261	-423	0.0029022
-256.5	-423	0.0033792
-252	-423	0.003249
-247.5	-423	0.004695
-234	-423	0.0047304
-229.5	-423	0.0040998
-207	-423	0.0120696
-198	-423	0.0099552
-171	-423	0.011316
-166.5	-423	0.0090978
-162	-423	0.0104832
-148.5	-423	0.0175776
-139.5	-423	0.0208518
-135	-423	0.021051
-130.5	-423	0.0194286
-121.5	-423	0.0217098
-117	-423	0.022284
-108	-423	0.0198756
-103.5	-423	0.0287658
-99	-423	0.029397
-94.5	-423	0.0326094
-90	-423	0.0317124
-85.5	-423	0.0356322
-81	-423	0.037653
-76.5	-423	0.0289068
-72	-423	0.0342978
-67.5	-423	0.01902
-63	-423	0.020016
-58.5	-423	0.0238242
-54	-423	0.0247632
-49.5	-423	0.0288618
-45	-423	0.0279516
-40.5	-423	0.0193914
-36	-423	0.016785
-31.5	-423	0.0251802
-27	-423	0.0238848
-22.5	-423	0.0239382
-18	-423	0.0285162
-13.5	-423	0.0317364
-9	-423	0.0304092
-4.5	-423	0.0232014
0	-423	0.024189
4.5	-423	0.0245718
9	-423	0.0273024
13.5	-423	0.0320004
18	-423	0.027597
22.5	-423	0.0254376
27	-423	0.027123
31.5	-423	0.026802
36	-423	0.0332538
40.5	-423	0.019044
45	-423	0.0309936
49.5	-423	0.0369144
54	-423	0.0239136
58.5	-423	0.0315936
63	-423	0.0331758
67.5	-423	0.030186
72	-423	0.0319812
76.5	-423	0.0346632
81	-423	0.0274272
85.5	-423	0.0325668
