Cor C	Cor B	Value	Error
-432.0	-436.5	0.000166406	0.3653
-427.5	-436.5	0.000730907	0.4773
-423.0	-436.5	0.000231582	0.5735
-418.5	-436.5	0.000646885	0.3894
-414.0	-436.5	0.000471372	0.3754
-409.5	-436.5	0.000348216	0.3265
-405.0	-436.5	0.00102052	0.2848
-400.5	-436.5	0.000654152	0.2658
-396.0	-436.5	0.00127555	0.4766
-391.5	-436.5	0.000405504	0.3578
-387.0	-436.5	0.00122999	0.5489
-382.5	-436.5	0.000780522	0.4096
-378.0	-436.5	0.000755746	0.2413
-373.5	-436.5	0.00169158	0.3313
-369.0	-436.5	0.00145453	0.3892
-364.5	-436.5	0.000892257	0.5106
-360.0	-436.5	0.00186299	0.3795
-355.5	-436.5	0.00170404	0.2428
-351.0	-436.5	0.00130296	0.4998
-346.5	-436.5	0.00194533	0.2356
-342.0	-436.5	0.0046958	0.6715
-337.5	-436.5	0.0026593	0.4259
-333.0	-436.5	0.00167155	0.3278
-328.5	-436.5	0.00235111	0.2786
-324.0	-436.5	0.00203363	0.2775
-319.5	-436.5	0.00171148	0.2137
-315.0	-436.5	0.00167585	0.3002
-310.5	-436.5	0.00280199	0.3087
-306.0	-436.5	0.00152449	0.1991
-301.5	-436.5	0.00316243	0.3807
-297.0	-436.5	0.00612317	0.3936
-292.5	-436.5	0.00208098	0.1878
-288.0	-436.5	0.00325664	0.2456
-283.5	-436.5	0.00319271	0.2526
-279.0	-436.5	0.00367297	0.2118
-274.5	-436.5	0.00589239	0.4432
-270.0	-436.5	0.0036455	0.1938
-265.5	-436.5	0.00408987	0.2886
-261.0	-436.5	0.00661447	0.2575
-256.5	-436.5	0.00495237	0.2646
-252.0	-436.5	0.00648062	0.1983
-247.5	-436.5	0.00633441	0.1745
-243.0	-436.5	0.00602962	0.3416
-238.5	-436.5	0.00647824	0.2947
-234.0	-436.5	0.00779222	0.1896
-229.5	-436.5	0.0106046	0.2383
-225.0	-436.5	0.00988023	0.2525
-220.5	-436.5	0.0141816	0.426
