X	Z	Value
-7.87879	9.89899	0.0255493
-7.87879	10.303	0
-7.87879	10.7071	8.71904
-7.87879	11.1111	0.482481
-7.87879	11.5152	14.5924
-7.87879	11.9192	17.5519
-7.87879	12.3232	0.0157758
-7.87879	12.7273	10.3871
-7.87879	13.1313	0.00927982
-7.87879	13.5354	13.2195
-7.87879	13.9394	19.6423
-7.87879	14.3434	0
-7.87879	14.7475	13.9456
-7.87879	15.1515	17.6824
-7.87879	15.5556	2.84833
-7.87879	15.9596	11.6719
-7.87879	16.3636	8.03254
-7.87879	16.7677	0
-7.87879	17.1717	19.2922
-7.87879	17.5758	34.0833
-7.87879	17.9798	19.078
-7.87879	18.3838	24.8042
-7.87879	18.7879	12.1538
-7.87879	19.1919	16.2027
-7.87879	19.596	32.7597
-7.87879	20	32.7597
-7.57576	-20	27.306
-7.57576	-19.596	17.894
-7.57576	-19.1919	18.2638
-7.57576	-18.7879	42.9536
-7.57576	-18.3838	35.6975
-7.57576	-17.9798	29.2124
-7.57576	-17.5758	20.9267
-7.57576	-17.1717	11.1008
-7.57576	-16.7677	0.791398
-7.57576	-16.3636	22.5386
-7.57576	-15.9596	30.6507
-7.57576	-15.5556	26.7878
-7.57576	-15.1515	9.57326
-7.57576	-14.7475	18.8765
-7.57576	-14.3434	11.0898
-7.57576	-13.9394	2.60457
-7.57576	-13.5354	0
-7.57576	-13.1313	27.3744
-7.57576	-12.7273	27.7563
-7.57576	-12.3232	28.1805
-7.57576	-11.9192	19.4562
-7.57576	-11.5152	24.8822
-7.57576	-11.1111	17.7366
-7.57576	-10.7071	14.3503
-7.57576	-10.303	14.6357
-7.57576	-9.89899	8.95675
-7.57576	-9.49495	0
-7.57576	-9.09091	8.77926
-7.57576	-8.68687	0.623857
-7.57576	-8.28283	0.00871499
-7.57576	-7.87879	2.15075
-7.57576	-7.47475	12.4774
-7.57576	-7.07071	14.3536
-7.57576	-6.66667	12.3715
-7.57576	-6.26263	12.7773
-7.57576	-5.85859	0.0259765
-7.57576	-5.45455	26.9224
-7.57576	-5.05051	17.2459
-7.57576	-4.64646	34.2702
-7.57576	-4.24242	25.0031
-7.57576	-3.83838	24.734
-7.57576	-3.43434	43.0102
-7.57576	-3.0303	21.431
-7.57576	-2.62626	57.2626
-7.57576	-2.22222	133.693
-7.57576	-1.81818	157.336
-7.57576	-1.41414	117.953
-7.57576	-1.0101	196.021
-7.57576	-0.606061	218.764
-7.57576	-0.20202	147.001
-7.57576	0.20202	148.547
-7.57576	0.606061	241.398
-7.57576	1.0101	225.26
-7.57576	1.41414	159.367
-7.57576	1.81818	132.409
-7.57576	2.22222	49.5482
-7.57576	2.62626	29.055
-7.57576	3.0303	51.6588
-7.57576	3.43434	46.5218
-7.57576	3.83838	8.27429
-7.57576	4.24242	0.00336806
-7.57576	4.64646	8.58315
-7.57576	5.05051	23.1913
-7.57576	5.45455	8.40551
-7.57576	5.85859	43.2096
-7.57576	6.26263	15.6129
-7.57576	6.66667	37.3621
-7.57576	7.07071	13.684
-7.57576	7.47475	6.08003
-7.57576	7.87879	10.7995
-7.57576	8.28283	12.1868
-7.57576	8.68687	0.0152013
-7.57576	9.09091	9.34506
-7.57576	9.49495	8.76031
-7.57576	9.89899	0.0255493
-7.57576	10.303	1.69254
-7.57576	10.7071	7.02649
-7.57576	11.1111	13.2598
-7.57576	11.5152	14.7753
-7.57576	11.9192	4.60742
-7.57576	12.3232	7.72511
-7.57576	12.7273	2.67866
-7.57576	13.1313	1.78204
-7.57576	13.5354	31.0942
-7.57576	13.9394	0
-7.57576	14.3434	0.133212
-7.57576	14.7475	15.6804
-7.57576	15.1515	12.5203
