Parent,Nuclide,Atoms_EOB,Atoms_after_cooling,Activity_EOB_Bq,Activity_after_cooling_Bq
Cu69,"Nuclide: Cu-69, decay dataset: icrp107_ame2020_nubase2020",2974079073.9799256,2.365844961332346e-143,12055406.578312973,9.589934295844844e-146
Cu69,"Nuclide: Zn-69, decay dataset: icrp107_ame2020_nubase2020",-3132363393.6726713,-64.56540955746927,-641604.2715169603,-0.013224979786187342
Cu69,"Nuclide: Ga-69, decay dataset: icrp107_ame2020_nubase2020",158284319.69274634,158284384.2581559,0.0,0.0
Zn60,"Nuclide: Zn-60, decay dataset: icrp107_ame2020_nubase2020",1263905587.5783038,9.245255930582257e-174,6134962.1465256475,4.4876212057690514e-176
Zn60,"Nuclide: Cu-60, decay dataset: icrp107_ame2020_nubase2020",-1404998236.6286798,-7.198560564074654e-10,-684859.7513437864,-3.5089043312787314e-13
Zn60,"Nuclide: Ni-60, decay dataset: icrp107_ame2020_nubase2020",141092649.050376,141092649.050376,0.0,0.0
Zn61,"Nuclide: Zn-61, decay dataset: icrp107_ame2020_nubase2020",301464888.29645485,3.7270236943150266e-284,2345224.886200971,2.899411858130833e-286
Zn61,"Nuclide: Cu-61, decay dataset: icrp107_ame2020_nubase2020",-303720236.247676,-2064624.1213357733,-17545.323318504943,-119.26929264759356
Zn61,"Nuclide: Ni-61, decay dataset: icrp107_ame2020_nubase2020",2255347.9512211895,4319972.072556963,0.0,0.0
Zn62,"Nuclide: Zn-62, decay dataset: icrp107_ame2020_nubase2020",18097996.35070135,2958952.6742000547,379.3385811825006,62.02039648293534
Zn62,"Nuclide: Cu-62, decay dataset: icrp107_ame2020_nubase2020",323299.4699550289,52858.05424236802,386.1161929698698,63.128314669668235
Zn62,"Nuclide: Ni-62, decay dataset: icrp107_ame2020_nubase2020",-18421295.820656385,-21433106.54909881,-0.0,-0.0
Zn63,"Nuclide: Zn-63, decay dataset: icrp107_ame2020_nubase2020",11212192.531915123,6.047926262767463e-05,3366.9957722000877,1.8161784235645586e-08
Zn63,"Nuclide: Cu-63, decay dataset: icrp107_ame2020_nubase2020",-11212192.531915123,-11212192.531975603,-0.0,-0.0
Zn64,"Nuclide: Zn-64, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Zn65,"Nuclide: Zn-65, decay dataset: icrp107_ame2020_nubase2020",299.8346778978093,298.98433488506515,9.85591551651337e-06,9.827963750051853e-06
