parent_nuclide,parent_original,production_rate,nuclide,original_nuclide,atom_number_after_irradiation,atom_number_after_cooling,activity_after_cooling_Bq,is_stable,decay_constant,half_life,half_life_seconds,cooling_time_hours
Ti52,Ti52,4.47e-08,Cr52,Cr-52,,,0.0,True,0.0,稳定,inf,240.0
V47,V47,1.62e-08,V47,V47,142664981079.65384,1.5276102015026523e-122,5.4133880581092705e-126,False,0.00035436972421265094,32.60 分钟,1956.0,240.0
V47,V47,1.62e-08,Ti47,Ti-47,,,0.0,True,0.0,稳定,inf,240.0
V50,V50,4.06e-09,V50,V50,0.0,0.0,0.0,False,1.4643318528611795e-25,150099534246575360.00 年,4.7335389120000005e+24,240.0
V50,V50,4.06e-09,Ti50,Ti-50,,,0.0,True,0.0,稳定,inf,240.0
V50,V50,4.06e-09,Cr50,Cr-50,,,0.0,True,0.0,稳定,inf,240.0
V53,V53,2.84e-08,V53,V53,12351763983.348658,0.0,0.0,False,0.0071754366517592675,1.61 分钟,96.60000000000001,240.0
V53,V53,2.84e-08,Cr53,Cr-53,,,0.0,True,0.0,稳定,inf,240.0
Cr48,Cr48,3.25e-08,Cr48,Cr48,11352056389551.293,5059309939.107078,45182.00396659168,False,8.930467694289132e-06,21.56 小时,77616.0,240.0
Cr48,Cr48,3.25e-08,V48,V-48,75321763869434.98,48805032278944.83,24511858.269662872,False,5.022403863922375e-07,15.97 天,1380110.4,240.0
Cr48,Cr48,3.25e-08,Ti48,Ti-48,,,0.0,True,0.0,稳定,inf,240.0
Cr49,Cr49,2.84e-08,Cr49,Cr49,324521500928.974,1.0788152568027734e-91,2.946326846327406e-95,False,0.00027310763615443075,42.30 分钟,2538.0,240.0
Cr49,Cr49,2.84e-08,V49,V-49,75783846598808.23,74208648825004.75,1804065.5059699474,False,2.4310717612231527e-08,330.00 天,28512000.0,240.0
Cr49,Cr49,2.84e-08,Ti49,Ti-49,,,0.0,True,0.0,稳定,inf,240.0
Cr50,Cr50,2.44e-08,Cr50,Cr50,65790403200000.0,65790403200000.0,0.0,True,0.0,稳定,inf,240.0
Cr51,Cr51,4.06e-09,Cr51,Cr51,9684972897664.262,7541072712828.9,2183865.4793218332,False,2.8959613074763664e-07,27.70 天,2393496.0,240.0
Cr51,Cr51,4.06e-09,V51,V-51,,,0.0,True,0.0,稳定,inf,240.0
Cr52,Cr52,4.06e-09,Cr52,Cr52,10947091679999.998,10947091679999.998,0.0,True,0.0,稳定,inf,240.0
Cr54,Cr54,8.12e-09,Cr54,Cr54,21894183359999.996,21894183359999.996,0.0,True,0.0,稳定,inf,240.0
Cr55,Cr55,1.62e-08,Cr55,Cr55,15303663767.96164,0.0,0.0,False,0.003303532459059886,3.50 分钟,209.82,240.0
Cr55,Cr55,1.62e-08,Mn55,Mn-55,,,0.0,True,0.0,稳定,inf,240.0
